Lat,Lon,Base,Hour,Day,Month,Year,Minute,cluster
40.7757,-73.4202,B02512,13,1,4,2014,40,3
40.7829,-73.4372,B02512,18,1,4,2014,20,3
40.7999,-73.6507,B02512,19,1,4,2014,52,3
40.7418,-73.6084,B02512,22,3,4,2014,41,3
40.8607,-73.527,B02512,9,5,4,2014,34,3
40.8674,-73.1731,B02512,17,5,4,2014,19,3
40.738,-73.6453,B02512,11,7,4,2014,25,3
40.7443,-73.615,B02512,17,7,4,2014,52,3
40.7398,-73.616,B02512,14,8,4,2014,56,3
40.7349,-73.5948,B02512,15,8,4,2014,46,3
40.7244,-73.6194,B02512,3,9,4,2014,51,3
40.7615,-73.6333,B02512,8,11,4,2014,58,3
40.809,-73.1636,B02512,14,11,4,2014,54,3
40.7919,-73.1936,B02512,12,12,4,2014,8,3
40.7298,-73.5452,B02512,15,12,4,2014,21,3
40.8284,-73.413,B02512,16,12,4,2014,39,3
40.7987,-73.5307,B02512,22,12,4,2014,40,3
40.6239,-73.5985,B02512,11,15,4,2014,52,3
40.7813,-73.6635,B02512,20,15,4,2014,38,3
40.7997,-73.6504,B02512,21,15,4,2014,26,3
40.7988,-73.6638,B02512,22,15,4,2014,3,3
40.6884,-73.6318,B02512,17,17,4,2014,31,3
40.7417,-73.6085,B02512,18,17,4,2014,45,3
40.8034,-73.6458,B02512,21,17,4,2014,38,3
40.796,-73.6731,B02512,15,22,4,2014,34,3
40.7001,-73.4084,B02512,13,23,4,2014,14,3
40.8123,-73.538,B02512,22,25,4,2014,19,3
41.1295,-73.2437,B02512,14,26,4,2014,7,3
41.1318,-73.2472,B02512,14,26,4,2014,49,3
40.7786,-73.5421,B02512,14,26,4,2014,51,3
40.7786,-73.5421,B02512,14,26,4,2014,51,3
41.1293,-73.2439,B02512,15,26,4,2014,3,3
40.8524,-73.6245,B02512,15,26,4,2014,9,3
41.1379,-73.3429,B02512,15,26,4,2014,45,3
40.7345,-73.6289,B02512,22,26,4,2014,27,3
40.7678,-73.5224,B02512,23,26,4,2014,5,3
40.7565,-73.6443,B02512,0,27,4,2014,32,3
40.7076,-73.627,B02512,1,27,4,2014,23,3
40.658,-73.5909,B02512,14,27,4,2014,2,3
41.373,-72.9237,B02512,5,28,4,2014,49,3
40.7531,-73.6432,B02512,4,29,4,2014,23,3
40.7381,-73.6108,B02512,12,29,4,2014,43,3
40.7535,-73.5864,B02512,21,30,4,2014,35,3
40.7382,-73.6026,B02598,6,1,4,2014,31,3
40.7552,-73.6176,B02598,7,1,4,2014,23,3
40.7098,-73.6052,B02598,7,1,4,2014,46,3
40.7361,-73.6316,B02598,11,1,4,2014,30,3
40.7216,-73.6315,B02598,15,1,4,2014,1,3
40.7431,-73.6148,B02598,15,1,4,2014,45,3
40.7735,-73.417,B02598,16,1,4,2014,39,3
40.813,-73.6585,B02598,17,1,4,2014,8,3
40.712,-73.6242,B02598,18,1,4,2014,32,3
41.0912,-73.442,B02598,8,2,4,2014,16,3
40.8091,-73.6277,B02598,11,2,4,2014,10,3
40.7427,-73.6391,B02598,14,2,4,2014,18,3
40.739,-73.6151,B02598,14,2,4,2014,48,3
40.7405,-73.5378,B02598,15,2,4,2014,11,3
40.7845,-73.5568,B02598,15,2,4,2014,29,3
40.7961,-73.6731,B02598,19,2,4,2014,11,3
40.7975,-73.67,B02598,19,2,4,2014,55,3
41.0991,-73.4178,B02598,0,3,4,2014,4,3
40.7414,-73.6096,B02598,9,3,4,2014,32,3
40.7423,-73.6143,B02598,9,3,4,2014,56,3
40.624,-73.5985,B02598,9,3,4,2014,57,3
40.7252,-73.5933,B02598,12,3,4,2014,47,3
40.6731,-73.6144,B02598,13,3,4,2014,5,3
40.7297,-73.6315,B02598,17,3,4,2014,50,3
40.7581,-73.5879,B02598,21,3,4,2014,43,3
