Month,cluster,len
4,0,196169
4,1,75790
4,2,54918
4,3,608
4,4,4841
4,5,197212
4,6,13337
4,7,14932
4,8,5824
4,9,885
5,0,214210
5,1,92008
5,2,65561
5,3,974
5,4,6414
5,5,228145
5,6,17724
5,7,19541
5,8,6611
5,9,1247
6,0,209665
6,1,89787
6,2,69563
6,3,1403
6,4,7425
6,5,235408
6,6,19258
6,7,22139
6,8,7845
6,9,1351
7,0,249086
7,1,103926
7,2,94612
7,3,2026
7,4,7683
7,5,273161
7,6,23563
7,7,28171
7,8,11869
7,9,2024
8,0,255240
8,1,107323
8,2,117613
8,3,2575
8,4,8560
8,5,259518
8,6,25831
8,7,34271
8,8,15976
8,9,2368
9,0,320742
9,1,142586
9,2,132706
9,3,2542
9,4,10312
9,5,328557
9,6,29126
9,7,40027
9,8,18755
9,9,2783
